PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR
APIXABAN + OLANZAPINE,118,105,7.809244070050987,4.388623743065684,13.895994853052908,TOP_ROR,['ANTICOAGULANTS'],ANTICOAGULANTS
LEFLUNOMIDE + TOFACITINIB CITRATE,118,105,7.809244070050987,4.388623743065684,13.895994853052908,TOP_ROR,[],NONE
PANTOPRAZOLE SODIUM + TRIAMCINOLONE ACETONIDE,118,105,7.809244070050987,4.388623743065684,13.895994853052908,TOP_ROR,[],NONE
FENTANYL + QUETIAPINE,190,169,7.781947489739697,4.944537053984433,12.247598930271185,TOP_ROR,['OPIOIDS'],OPIOIDS
DICLOFENAC + ERELZI,406,361,7.760489995573898,5.69255862903212,10.57963718884743,TOP_ROR,[],NONE
CORTISONE ACETATE + SULFASALAZINE,270,240,7.737041260006645,5.293302680622133,11.308971179409207,TOP_ROR,[],NONE
CELECOXIB + INFLIXIMAB,198,176,7.736010764535349,4.966142615254707,12.050774048489018,TOP_ROR,['BIOLOGICS'],BIOLOGICS
DICLOFENAC + FOSAMAX,171,152,7.735624410003943,4.801294886087293,12.463280517521811,TOP_ROR,[],NONE
ADALIMUMAB + CETIRIZINE,171,152,7.735624410003943,4.801294886087293,12.463280517521811,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ALLOPURINOL + POLYETHYLENE GLYCOL,144,128,7.735238099789943,4.599947156029165,13.007520832498576,TOP_ROR,[],NONE
SULFASALAZINE + ZOPICLONE,108,96,7.73472308842962,4.244309473169639,14.095565281673103,TOP_ROR,[],NONE
CANDESARTAN + RITUXIMAB,332,295,7.711783065806093,5.478819684029072,10.85481937421944,TOP_ROR,['BIOLOGICS'],BIOLOGICS
DESOXIMETASONE + DICLOFENAC,224,199,7.697696779066321,5.078438669745532,11.667864782034888,TOP_ROR,[],NONE
RAMIPRIL + TRAMADOL HYDROCHLORIDE,170,151,7.684713778778217,4.768859337849258,12.383427918085196,TOP_ROR,['OPIOIDS'],OPIOIDS
APIXABAN + POTASSIUM CHLORIDE,143,127,7.6747882115375425,4.5629619148958325,12.908802481929172,TOP_ROR,['ANTICOAGULANTS'],ANTICOAGULANTS
RAMIPRIL + TOPIRAMATE,116,103,7.660459953252509,4.302359083491354,13.639644101432047,TOP_ROR,[],NONE
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + PREDNISONE,214,190,7.655645634807771,5.006919421505241,11.705582844816693,TOP_ROR,[],NONE
ARAVA + CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,151,134,7.6215750423021715,4.6013088467337955,12.624322352688186,TOP_ROR,[],NONE
PHTHALYLSULFATHIAZOLE + TOCILIZUMAB,133,118,7.606154498103006,4.4444985174786185,13.01689853680796,TOP_ROR,['BIOLOGICS'],BIOLOGICS
FLUCONAZOLE + MYCOPHENOLIC ACID,115,102,7.586068428148789,4.259228784869016,13.511468179637978,TOP_ROR,[],NONE
AZATHIOPRINE + COSENTYX,115,102,7.586068428148789,4.259228784869016,13.511468179637978,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS
PHENYLEPHRINE HYDROCHLORIDE + PREDNISONE,115,102,7.586068428148789,4.259228784869016,13.511468179637978,TOP_ROR,[],NONE
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + DESOXIMETASONE,159,141,7.574285172598933,4.637433519680922,12.371022815179758,TOP_ROR,[],NONE
CEFTAZIDIME + CIPROFLOXACIN,106,94,7.573546829536775,4.152921321726559,13.81162972655112,TOP_ROR,[],NONE
ATORVASTATIN + LOVENOX,106,94,7.573546829536775,4.152921321726559,13.81162972655112,TOP_ROR,['ANTICOAGULANTS'],ANTICOAGULANTS
GOLIMUMAB + PREDNISONE,150,133,7.564679538885292,4.565984747846733,12.532756828199256,TOP_ROR,[],NONE
LEFLUNOMIDE + PHTHALYLSULFATHIAZOLE,238,211,7.557475235814816,5.062721475880626,11.28156708048399,TOP_ROR,[],NONE
LEFLUNOMIDE + METHYLPREDNISOLONE SODIUM SUCCINATE,123,109,7.527739638813578,4.315103698969401,13.132213736439116,TOP_ROR,[],NONE
ALENDRONIC ACID + PANTOPRAZOLE,123,109,7.527739638813578,4.315103698969401,13.132213736439116,TOP_ROR,[],NONE
DICLOFENAC DIETHYLAMMONIUM + FOSAMAX,114,101,7.511677258572018,4.216099883030905,13.38329185796816,TOP_ROR,[],NONE
ARAVA + COSENTYX,254,225,7.503345559999268,5.096822361185642,11.046136318485305,TOP_ROR,[],NONE
MEROPENEM + PREDNISONE,245,217,7.494883715371561,5.056221264288801,11.109735703950255,TOP_ROR,[],NONE
ACETAMINOPHEN / CODEINE + METHOTREXATE,105,93,7.492959277791319,4.107229724951137,13.669661182466962,TOP_ROR,"['OPIOIDS', 'ANTINEOPLASTICS']","OPIOIDS, ANTINEOPLASTICS"
INFLIXIMAB + VITAMIN D2,105,93,7.492959277791319,4.107229724951137,13.669661182466962,TOP_ROR,['BIOLOGICS'],BIOLOGICS
HYDROCORTISONE + NAPROXEN,166,147,7.481073687229258,4.639123386050209,12.06401702572613,TOP_ROR,[],NONE
COCAINE + METHADONE,192,170,7.472175974077188,4.792610903561405,11.64989499691836,TOP_ROR,['OPIOIDS'],OPIOIDS
ENBREL + FOSAMAX,253,224,7.469979502209227,5.073657736008856,10.998099727420913,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ACETAMINOPHEN + LAMICTAL,157,139,7.46681281518585,4.569807060552266,12.200360513751276,TOP_ROR,[],NONE
CORTISONE ACETATE + RITUXIMAB,218,193,7.465498358007046,4.921700239567153,11.324067501174648,TOP_ROR,['BIOLOGICS'],BIOLOGICS
OTEZLA + SULFASALAZINE,148,131,7.450889347843445,4.495338959077908,12.349625374010596,TOP_ROR,[],NONE
DESOXIMETASONE + MYCOPHENOLATE MOFETIL,113,100,7.4372864445196445,4.17297241148571,13.255115108259824,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS
