PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2
"3,5,3'-TRIIODO-L-THYRONINE + FUROSEMIDE",0.08787484965618013,12,False,0.41427322319329657,10,False
"3,5,3'-TRIIODO-L-THYRONINE + GABAPENTIN",0.4027625809678072,17,False,0.724981544790614,14,False
"3,5,3'-TRIIODO-L-THYRONINE + LEVETIRACETAM",0.1487109042277049,15,False,0.5523613395389093,22,False
"3,5,3'-TRIIODO-L-THYRONINE + LT4",0.7652518029726751,43,False,1.5395307790109771,70,False
"3,5,3'-TRIIODO-L-THYRONINE + SYNTHROID",0.3717799251171446,18,False,0.859239368328453,17,False
3-HYDROXYTYRAMINE + AMINOPHYLLINE,2.255531399812063,10,False,12.566774333809553,14,True
3-HYDROXYTYRAMINE + DOBUTAMINE,2.1750069880951526,26,False,3.8666714447828943,15,True
3-HYDROXYTYRAMINE + EPINEPHRINE,4.281109679128105,38,True,5.606873599357795,34,True
3-HYDROXYTYRAMINE + FUROSEMIDE,2.4166521332992494,14,False,11.11700002866945,25,True
3-HYDROXYTYRAMINE + HYDROCORTISONE,7.250078839482813,17,True,9.18352095716825,21,True
3-HYDROXYTYRAMINE + MIDAZOLAM,29.000458702445457,15,True,4.833328157065486,12,True
3-HYDROXYTYRAMINE + NOREPINEPHRINE BITARTRATE,1.772207038466929,17,False,3.8666714447828943,15,True
3-HYDROXYTYRAMINE + VASOPRESSIN,11.600071671743414,13,True,11.11700002866945,25,True
3M CAVILON ANTIFUNGAL + ACETAMINOPHEN,0.06444091934911025,16,False,0.8055371070264209,11,False
8-1 MARVEL AID + ACETAMINOPHEN,7.250078839482813,17,True,11.11700002866945,25,True
8-1 MARVEL AID + ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,9.66668020459796,11,True,8.699991399452431,10,True
8-1 MARVEL AID + ACTEMRA,11.600071671743414,13,True,6.766724083971016,16,True
8-1 MARVEL AID + ARAVA,10.633373628683918,12,True,10.633373628683918,12,True
8-1 MARVEL AID + CHLORHEXIDINE GLUCONATE,21.266799816520773,11,True,3.8666714447828943,15,True
8-1 MARVEL AID + CLORHEXIDINA,8.699991399452431,10,True,29.000458702445457,15,True
8-1 MARVEL AID + ENBREL,8.699991399452431,10,True,7.7334359045418815,18,True
8-1 MARVEL AID + ERELZI,19.33340819012989,10,True,29.000458702445457,15,True
8-1 MARVEL AID + FOSAMAX,19.33340819012989,10,True,23.20020068088156,12,True
8-1 MARVEL AID + HUMIRA,23.20020068088156,12,True,19.33340819012989,10,True
8-1 MARVEL AID + IBUPROFEN,14.500193515094177,16,True,6.122332173824405,22,True
8-1 MARVEL AID + LEFLUNOMIDE,27.06703012377769,14,True,5.800021501523025,14,True
8-1 MARVEL AID + METHOTREXATE,3.8666714447828943,15,True,6.283371637989937,15,True
8-1 MARVEL AID + OXYCODONE HYDROCHLORIDE,21.266799816520773,11,True,23.20020068088156,12,True
8-1 MARVEL AID + PANTOPRAZOLE SODIUM,11.600071671743414,13,True,7.250078839482813,17,True
8-1 MARVEL AID + PREDNISONE,2.8999827989048637,12,False,1.2083141214161313,18,False
8-1 MARVEL AID + QUETIAPINE FUMARATE,23.20020068088156,12,True,23.20020068088156,12,True
8-1 MARVEL AID + RITUXIMAB,8.699991399452431,10,True,8.700156963368046,20,True
8-1 MARVEL AID + SIMPONI,23.20020068088156,12,True,13.53348161491544,15,True
8-1 MARVEL AID + SULFASALAZINE,23.20020068088156,12,True,16.433631172802638,18,True
8-1 MARVEL AID + ZOPICLONE,17.400356930398573,19,True,4.25341918220587,27,True
