Id,signal_count,drug_class,r,g,b,Label
HYDROCHLOROTHIAZIDE,30,RAAS Inhibitor,67,97,160,HYDROCHLOROTHIAZIDE
VALACYCLOVIR HYDROCHLORIDE,29,Antiviral,77,144,142,VALACYCLOVIR HYDROCHLORIDE
KARDEGIC,29,Antithrombotic,69,123,157,KARDEGIC
FILGRASTIM,29,Antineoplastic/Immuno (Other),204,204,204,FILGRASTIM
RISPERIDONE,29,Psycholeptic,155,93,229,RISPERIDONE
PHTHALYLSULFATHIAZOLE,28,Alimentary/Metabolism,138,177,125,PHTHALYLSULFATHIAZOLE
CANDESARTAN,28,RAAS Inhibitor,67,97,160,CANDESARTAN
BUMETANIDE,28,Cardiovascular (Other),87,117,144,BUMETANIDE
CELECOXIB,28,Antineoplastic,42,157,143,CELECOXIB
PSEUDOEPHEDRINE HYDROCHLORIDE,28,Respiratory (Other),144,190,109,PSEUDOEPHEDRINE HYDROCHLORIDE
TOCILIZUMAB,27,Immunosuppressant,230,57,70,TOCILIZUMAB
CORTISONE ACETATE,27,Corticosteroid,244,162,97,CORTISONE ACETATE
PROPOFOL,26,Anesthetic,119,141,169,PROPOFOL
HYDROMORPHONE,26,Analgesic/Opioid,38,70,83,HYDROMORPHONE
CARBIDOPA / LEVODOPA,26,Nervous System (Other),212,191,239,CARBIDOPA / LEVODOPA
LANTUS,26,Antidiabetic,96,108,56,LANTUS
SILDENAFIL CITRATE,25,Genitourinary,204,213,174,SILDENAFIL CITRATE
AMBRISENTAN,25,Cardiovascular (Other),87,117,144,AMBRISENTAN
FOSAMAX,25,Musculoskeletal (Other),221,161,94,FOSAMAX
VALSARTAN,25,RAAS Inhibitor,67,97,160,VALSARTAN
TAMSULOSIN,24,Genitourinary,204,213,174,TAMSULOSIN
CALCIUM,24,Alimentary/Metabolism,138,177,125,CALCIUM
DIPHENHYDRAMINE,24,Anti-inflammatory (NSAID),231,111,81,DIPHENHYDRAMINE
EPINEPHRINE,24,Cardiovascular (Other),87,117,144,EPINEPHRINE
SODIUM BICARBONATE,23,Blood (Other),61,90,128,SODIUM BICARBONATE
TYLENOL,23,Analgesic/Opioid,38,70,83,TYLENOL
DICLOFENAC DIETHYLAMMONIUM,23,Anti-inflammatory (NSAID),231,111,81,DICLOFENAC DIETHYLAMMONIUM
OXYCODONE HYDROCHLORIDE,23,Analgesic/Opioid,38,70,83,OXYCODONE HYDROCHLORIDE
VORICONAZOLE,22,Anti-infective (Other),56,102,65,VORICONAZOLE
INSULIN,22,Antidiabetic,96,108,56,INSULIN
ZOFRAN,22,Alimentary/Metabolism,138,177,125,ZOFRAN
CYTARABINE,22,Antineoplastic,42,157,143,CYTARABINE
URSADIOL 300 MG ORAL CAPSULE [URSODIOL],22,Unclassified,204,204,204,URSADIOL 300 MG ORAL CAPSULE [URSODIOL]
XARELTO,22,Antithrombotic,69,123,157,XARELTO
CODEINE,22,Analgesic/Opioid,38,70,83,CODEINE
AMLODIPINE BESYLATE,21,Cardiovascular (Other),87,117,144,AMLODIPINE BESYLATE
HUMALOG,21,Antidiabetic,96,108,56,HUMALOG
DIGOXIN,21,Narrow Therapeutic Index,178,34,34,DIGOXIN
TOPIRAMATE,21,Antiepileptic,201,173,229,TOPIRAMATE
METHYLPREDNISOLONE SODIUM SUCCINATE,20,Corticosteroid,244,162,97,METHYLPREDNISOLONE SODIUM SUCCINATE
TYVASO,20,Antithrombotic,69,123,157,TYVASO
OXAZEPAM,20,Psycholeptic,155,93,229,OXAZEPAM
ADEMPAS,20,Cardiovascular (Other),87,117,144,ADEMPAS
CELEBREX,20,Antineoplastic,42,157,143,CELEBREX
METOPROLOL TARTRATE,20,Beta Blocker,92,127,191,METOPROLOL TARTRATE
IRBESARTAN,19,RAAS Inhibitor,67,97,160,IRBESARTAN
PROCHLORPERAZINE,19,Psycholeptic,155,93,229,PROCHLORPERAZINE
CIPROFLOXACIN,19,Antibacterial,106,153,78,CIPROFLOXACIN
VITAMINS,19,Alimentary/Metabolism,138,177,125,VITAMINS
AMOXICILLIN,19,Antibacterial,106,153,78,AMOXICILLIN
SERTRALINE HYDROCHLORIDE,19,Psychoanaleptic,177,133,219,SERTRALINE HYDROCHLORIDE
FLUOXETINE,18,Psychoanaleptic,177,133,219,FLUOXETINE
SENNOSIDES,18,Alimentary/Metabolism,138,177,125,SENNOSIDES
DILTIAZEM,18,Cardiovascular (Other),87,117,144,DILTIAZEM
ESCITALOPRAM,18,Psychoanaleptic,177,133,219,ESCITALOPRAM
TRELEGY ELLIPTA,18,Anti-asthmatic,181,201,154,TRELEGY ELLIPTA
DIPYRONE,18,Analgesic/Opioid,38,70,83,DIPYRONE
AMOXICILLIN / CLAVULANATE,18,Antibacterial,106,153,78,AMOXICILLIN / CLAVULANATE
TRAMADOL,17,Analgesic/Opioid,38,70,83,TRAMADOL
KEVZARA,17,Immunosuppressant,230,57,70,KEVZARA
AMPHOTERICIN B,17,Anti-infective (Other),56,102,65,AMPHOTERICIN B
HYDROXYZINE,17,Psycholeptic,155,93,229,HYDROXYZINE
CLONIDINE,17,Analgesic/Opioid,38,70,83,CLONIDINE
ZOLPIDEM,17,Psycholeptic,155,93,229,ZOLPIDEM
POSACONAZOLE,16,Anti-infective (Other),56,102,65,POSACONAZOLE
VENCLEXTA,16,Antineoplastic,42,157,143,VENCLEXTA
VENLAFAXINE,16,Psychoanaleptic,177,133,219,VENLAFAXINE
LINEZOLID,16,Antibacterial,106,153,78,LINEZOLID
ALENDRONIC ACID,16,Musculoskeletal (Other),221,161,94,ALENDRONIC ACID
MIDAZOLAM,16,Psycholeptic,155,93,229,MIDAZOLAM
ARIPIPRAZOLE,16,Psycholeptic,155,93,229,ARIPIPRAZOLE
FLUDARABINE,15,Antineoplastic,42,157,143,FLUDARABINE
CLOZAPINE,15,Psycholeptic,155,93,229,CLOZAPINE
LAMOTRIGINE,15,Antiepileptic,201,173,229,LAMOTRIGINE
