PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
FILGRASTIM + VANCOMYCIN,104,91,6.767785116225722,3.784895740414522,12.10149988818188,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
QUETIAPINE FUMARATE + RITUXIMAB,286,250,6.716242593358412,4.735589460910761,9.5253009039695,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
MICAFUNGIN + TACROLIMUS,103,90,6.693397857277168,3.7417847275215017,11.973317050090817,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CARBOPLATIN + ROSUVASTATIN,110,96,6.629729876423354,3.784140258583854,11.61513982856152,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
OXYCODONE + RAMIPRIL,195,170,6.575466101998724,4.321004775972724,10.006180668661962,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + PHTHALYLSULFATHIAZOLE,168,146,6.416912474464196,4.098674043676167,10.046362620239524,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CODEINE + LEFLUNOMIDE,122,106,6.405407294476929,3.786502669467672,10.835656591232878,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
OXYCODONE + PANTOPRAZOLE SODIUM,231,200,6.238937449253072,4.273611183687788,9.108067819614746,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
PSEUDOEPHEDRINE HYDROCHLORIDE + RITUXIMAB,238,206,6.2253636637419,4.289560381558029,9.034760977478427,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CYCLOPHOSPHAMIDE + VANCOMYCIN,260,225,6.216965553413415,4.3541020960720065,8.87683840192841,HIGH_RISK_CLASS,"['ANTINEOPLASTICS', 'NARROW_THERAPEUTIC_INDEX']","ANTINEOPLASTICS, NARROW_THERAPEUTIC_INDEX",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
NAPROXEN + RITUXIMAB,368,318,6.151790737539717,4.565508497260428,8.289225461126266,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ASCORBIC ACID + MYCOPHENOLATE MOFETIL,160,138,6.06518487427272,3.867442035622436,9.511834235722707,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE + RITUXIMAB,280,241,5.97624975376167,4.260862738157256,8.382236958607763,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALLOPURINOL + VINCRISTINE,129,111,5.962307675151423,3.62339529080225,9.81099492605972,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
RAMIPRIL + TRAMADOL HYDROCHLORIDE,170,146,5.8821406920768595,3.819741664865028,9.058094017101288,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
AMLODIPINE + VANCOMYCIN,132,113,5.750290089078036,3.5368674964128313,9.348904402578038,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
AZITHROMYCIN + VANCOMYCIN,249,213,5.721732628381942,4.019068295431544,8.145724795944355,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
MYCOPHENOLATE MOFETIL + RAMIPRIL,145,124,5.7092172796070155,3.5950337961512253,9.066719200431187,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ACETAMINOPHEN\CODEINE PHOSPHATE + IBUPROFEN,124,106,5.693667228752454,3.454481036736587,9.384288455204391,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ASCORBIC ACID + INFLIXIMAB,117,100,5.687280467915301,3.4008416398806394,9.510927748422333,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CLOTRIMAZOLE + VANCOMYCIN,102,87,5.607512066905615,3.2417960759303313,9.699620470873764,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
HYDROCORTISONE + VANCOMYCIN,142,121,5.571051115719022,3.505122967982276,8.854642424091724,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
