PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS,IS_SAME_DRUG,IS_KNOWN_MISSED,HAS_INTL_VARIANT,IS_MANUAL_EXCLUSION,NEEDS_REVIEW
ASCORBIC ACID + MYCOPHENOLATE MOFETIL,162,140,6.153115513488512,3.92524569095928,9.645467698884415,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
AMLODIPINE + VANCOMYCIN,125,108,6.142380326063168,3.683183945144468,10.24353837112743,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ADALIMUMAB + RAMIPRIL,153,132,6.07767006863684,3.834837528251492,9.63223948630913,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CYCLOPHOSPHAMIDE + VANCOMYCIN,259,223,5.9905017587024165,4.212685509651949,8.518583036591698,HIGH_RISK_CLASS,"['ANTINEOPLASTICS', 'NARROW_THERAPEUTIC_INDEX']","ANTINEOPLASTICS, NARROW_THERAPEUTIC_INDEX",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
HYDROCORTISONE + VANCOMYCIN,143,123,5.946334451709108,3.70689897279692,9.538671992698994,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CLOTRIMAZOLE + VANCOMYCIN,107,92,5.929853721868441,3.435677013442684,10.234712117924651,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ASCORBIC ACID + INFLIXIMAB,114,98,5.921867121955416,3.4908515849449993,10.045832472894732,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
AZITHROMYCIN + VANCOMYCIN,250,214,5.748608963240405,4.038428650494428,8.183010738149852,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
AZATHIOPRINE + CANDESARTAN,117,100,5.687280467915301,3.4008416398806394,9.510927748422333,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
FILGRASTIM + VANCOMYCIN,103,88,5.6719797817119435,3.280568201474713,9.806641004959776,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CALCIUM CARBONATE + INFLIXIMAB,123,105,5.6399399098009795,3.420702189497993,9.298945194300591,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ALLOPURINOL + VINCRISTINE,121,103,5.532486042211623,3.3531487503522963,9.128256479540484,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
MICAFUNGIN + VANCOMYCIN,120,102,5.4787594935700605,3.319374226504936,9.04291096457347,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ADALIMUMAB + CHOLECALCIFEROL,179,152,5.443479915682289,3.614887397546759,8.197066833270059,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
FOLIC ACID + OXYCODONE,516,437,5.351693459890385,4.21121868949382,6.801029583214561,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
