PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
ATORVASTATIN + LOVENOX,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,['ANTICOAGULANTS'],ANTICOAGULANTS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CEFEPIME + CYCLOPHOSPHAMIDE,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
APREMILAST + INFLIXIMAB,131,117,8.080388763147385,4.641956984968906,14.06576639443717,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
DICLOFENAC + HYDROCORTISONE,187,167,8.074327470006214,5.077903042013302,12.838914716073091,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
EPCORITAMAB + RITUXIMAB,215,192,8.072647804732059,5.238237980369747,12.44075638095492,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
STELARA + SULFASALAZINE,196,175,8.058345203611113,5.124561626616164,12.671703874784152,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
AIMOVIG + PREDNISONE,140,125,8.057501836088662,4.71624139813658,13.765906016647884,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CIMZIA + DICLOFENAC SODIUM,270,241,8.037224178567254,5.467493943897962,11.814731421630563,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
BACTRIM + LENALIDOMIDE,186,166,8.025959022133211,5.046730484362089,12.763910897275448,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DICLOFENAC SODIUM + FOLIC ACID,529,472,8.012425356828087,6.08679907861113,10.547244827636147,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
MIDODRINE HYDROCHLORIDE + OXYGEN,195,174,8.012278367477656,5.094556352502959,12.601019636657972,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CORTISONE ACETATE + LEFLUNOMIDE,232,207,8.007305033701419,5.287443294064798,12.126264119884166,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
LEFLUNOMIDE + PHTHALYLSULFATHIAZOLE,222,198,7.978141155718721,5.2228642399821705,12.186940608816238,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ARAVA + DESOXIMETASONE,406,362,7.958889245132296,5.820207389651914,10.883446890381498,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ALENDRONATE SODIUM + ENBREL,203,181,7.955878870153522,5.110764934511197,12.38484050971306,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,NEITHER_KNOWN,UNKNOWN_DRUGS
EPCORITAMAB + PREDNISONE,147,131,7.916589498059533,4.710907987370919,13.303675098048968,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
DESOXIMETASONE + XELJANZ,257,229,7.909574199267476,5.3422823740880165,11.710605998133452,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CELEBREX + OXYCODONE,110,98,7.895900887876782,4.335703959643896,14.37949901826183,TOP_ROR,['OPIOIDS'],OPIOIDS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CYCLOPHOSPHAMIDE + VALACICLOVIR,119,106,7.883636661750842,4.431758042851576,14.02416973434564,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CANDESARTAN + SIMPONI,119,106,7.883636661750842,4.431758042851576,14.02416973434564,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ALENDRONATE SODIUM + REMICADE,164,146,7.842970560830427,4.806511875218006,12.797677154446388,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,NEITHER_KNOWN,UNKNOWN_DRUGS
ALENDRONATE SODIUM + ORENCIA,191,170,7.828013224901975,4.974539952574054,12.318283023846712,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
SIMPONI + STELARA,218,194,7.816891853671867,5.114888808297357,11.94626130540301,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
HYDROXYCHLOROQUINE SULFATE + RAMIPRIL,127,113,7.80406155972141,4.4785214096012185,13.598992001546414,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CELECOXIB + HYDROCORTISONE,136,121,7.799587222538191,4.5609539860078625,13.337902778367583,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
DARATUMUMAB/HYALURONIDASE-FIHJ + DEXAMETHASONE,154,137,7.7922631841600305,4.707285804532272,12.899018256498044,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
GOLIMUMAB + PREDNISONE,154,137,7.7922631841600305,4.707285804532272,12.899018256498044,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
LEFLUNOMIDE + STELARA,163,145,7.789232969496901,4.772694850700742,12.712346410370111,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ALENDRONATE SODIUM + CETIRIZINE HYDROCHLORIDE,244,217,7.772491211483013,5.2100346255561165,11.595243405149604,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DESOXIMETASONE + SIMPONI,316,281,7.765338634533435,5.464735673181497,11.03447407436478,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ACTEMRA + DESOXIMETASONE,378,336,7.738587594530557,5.61482137536827,10.66565326920919,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ALENDRONIC ACID + HUMIRA,153,136,7.735366864937591,4.671959387696505,12.807453055510464,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
PHTHALYLSULFATHIAZOLE + STELARA,144,128,7.735238099789943,4.599947156029165,13.007520832498576,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ERELZI + PHENYLEPHRINE HYDROCHLORIDE,135,120,7.7351093395656045,4.5221345050997925,13.230901563754948,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
LANSOPRAZOLE + LANTUS,126,112,7.734980584264293,4.437665249106306,13.482297848174698,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
