drug,degree_centrality,betweenness_centrality,eigenvector_centrality,degree,drug_class
RISEDRONATE SODIUM,0.014684287812041116,2.5913449080072558e-05,0.021462482655125716,10,Musculoskeletal (Other)
POLOXAMER,0.014684287812041116,0.0,0.005777194605947373,10,Alimentary/Metabolism
JANUVIA,0.013215859030837003,0.0,0.011887144173585803,9,Antidiabetic
VENETOCLAX,0.013215859030837003,0.0025870259998272437,0.010750479773532927,9,Antineoplastic
HALOPERIDOL,0.013215859030837003,0.0,0.010708394358973753,9,Psycholeptic
LENALIDOMIDE,0.013215859030837003,0.0,0.01413046662147263,9,Immunosuppressant
ENOXAPARIN,0.013215859030837003,0.0,0.017781702609092526,9,Antithrombotic
PAROXETINE,0.013215859030837003,0.0,0.012316341413548202,9,Psychoanaleptic
DOCUSATE SODIUM,0.013215859030837003,0.00014684287812041116,0.012236909345695289,9,Alimentary/Metabolism
ROSUVASTATIN CALCIUM,0.013215859030837003,4.318908180012093e-06,0.00836058647416851,9,Lipid Modifying
VALPROIC ACID,0.013215859030837003,7.774034724021767e-05,0.006932551790468028,9,Narrow Therapeutic Index
TRAZODONE HYDROCHLORIDE,0.013215859030837003,0.0,0.010690143311988339,9,Psychoanaleptic
NOVOLOG,0.013215859030837003,3.8870173620108835e-05,0.008680327314409278,9,Antidiabetic
FARXIGA,0.013215859030837003,4.318908180012093e-06,0.010022494128414125,9,Antidiabetic
GLYCERYL TRINITRATE,0.013215859030837003,0.00022026431718061675,0.014013027708645348,9,Cardiovascular (Other)
LOVENOX,0.013215859030837003,0.0,0.022100848173664162,9,Antithrombotic
PERINDOPRIL,0.013215859030837003,0.00019866977628055628,0.00981925828232583,9,RAAS Inhibitor
